UNIVERSITY_ID,COURSE,UNIVERSITY_GPA,HS_GPA,Programs,MAJOR,Transfer,FULL_TITLE,Year,Gender,Generation,Semester,Term,URM
a6f0eb28-c033-4b2b-baa1-55f1ac4186d1,RA1,1.439034658,3.5,Undergraduate,Major 31,New First-Year,Research Analytics Course Sample 1,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
a622e6ff-456d-4670-844f-6c708b4fa3d6,RA1,3.182401619,3.9,Undergraduate,Major 20,New First-Year,Research Analytics Course Sample 1,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
5cf929a5-2315-49db-a92c-4c93b6907339,RA1,2.884716521,3.7,Undergraduate,Major 3,New First-Year,Research Analytics Course Sample 1,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
feda43b6-6dba-4260-8f7e-2118115cc5d6,RA1,2.917153762, ,Undergraduate,Major 9,New Transfer,Research Analytics Course Sample 1,Third,Male,First.Gen,Fall,Fall 2018,URM
51a4528c-1790-41ab-b01c-284d6b0e3f4e,RA1,2.536519555,3.4,Undergraduate,Major 33,New First-Year,Research Analytics Course Sample 1,First,Female,First.Gen,Fall,Fall 2018,Non-URM
65b600f1-ff39-457e-b978-ae63d1272e84,RA1,, ,Undergraduate,Major 5,New Transfer,Research Analytics Course Sample 1,Third,Male,Cont.Gen,Fall,Fall 2018,URM
783ba9eb-a889-4015-ac47-f74d2112eb74,RA3,1.625467806,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
93a23fdb-509b-4c06-9265-e1b7bccbdf46,RA3,1.410427109,3,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Second,Female,Cont.Gen,Fall,Fall 2018,URM
d96dac49-368e-400e-83e0-385097dfe5c2,RA3,2.585625084,3.9,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
cf902b64-e017-4962-b521-4c6db358d442,RA2,1.315331069,3.3,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
